transaction_id,date,category,description,merchant,amount,type,user_id
txn_0001,2026-01-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0002,2026-01-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0003,2026-01-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0004,2026-01-07,utilities,Electricity bill,BESCOM,2321,expense,11111111-1111-1111-1111-111111111111
txn_0005,2026-01-09,groceries,Monthly groceries,Vijay Sales,4808,expense,11111111-1111-1111-1111-111111111111
txn_0006,2026-01-12,transport,Fuel / Metro,IndianOil,2229,expense,11111111-1111-1111-1111-111111111111
txn_0007,2026-01-15,food,Zomato / Swiggy,Zomato,1348,expense,11111111-1111-1111-1111-111111111111
txn_0008,2026-01-18,entertainment,Movie / OTT,PVR,355,expense,11111111-1111-1111-1111-111111111111
txn_0009,2026-01-21,shopping,Shopping,Myntra,1414,expense,11111111-1111-1111-1111-111111111111
txn_0010,2026-02-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0011,2026-02-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0012,2026-02-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0013,2026-02-07,utilities,Electricity bill,BESCOM,2815,expense,11111111-1111-1111-1111-111111111111
txn_0014,2026-02-09,groceries,Monthly groceries,Vijay Sales,6045,expense,11111111-1111-1111-1111-111111111111
txn_0015,2026-02-12,transport,Fuel / Metro,IndianOil,2339,expense,11111111-1111-1111-1111-111111111111
txn_0016,2026-02-15,food,Zomato / Swiggy,Zomato,1161,expense,11111111-1111-1111-1111-111111111111
txn_0017,2026-02-18,entertainment,Movie / OTT,PVR,836,expense,11111111-1111-1111-1111-111111111111
txn_0018,2026-02-21,shopping,Shopping,Myntra,2743,expense,11111111-1111-1111-1111-111111111111
txn_0019,2026-03-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0020,2026-03-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0021,2026-03-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0022,2026-03-07,utilities,Electricity bill,BESCOM,2702,expense,11111111-1111-1111-1111-111111111111
txn_0023,2026-03-09,groceries,Monthly groceries,Vijay Sales,5902,expense,11111111-1111-1111-1111-111111111111
txn_0024,2026-03-12,transport,Fuel / Metro,IndianOil,2103,expense,11111111-1111-1111-1111-111111111111
txn_0025,2026-03-15,food,Zomato / Swiggy,Zomato,791,expense,11111111-1111-1111-1111-111111111111
txn_0026,2026-03-18,entertainment,Movie / OTT,PVR,252,expense,11111111-1111-1111-1111-111111111111
txn_0027,2026-03-21,shopping,Shopping,Myntra,830,expense,11111111-1111-1111-1111-111111111111
txn_0028,2026-04-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0029,2026-04-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0030,2026-04-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0031,2026-04-07,utilities,Electricity bill,BESCOM,2313,expense,11111111-1111-1111-1111-111111111111
txn_0032,2026-04-09,groceries,Monthly groceries,Vijay Sales,4676,expense,11111111-1111-1111-1111-111111111111
txn_0033,2026-04-10,subscriptions,Netflix,Netflix,649,expense,11111111-1111-1111-1111-111111111111
txn_0034,2026-04-12,transport,Fuel / Metro,IndianOil,1400,expense,11111111-1111-1111-1111-111111111111
txn_0035,2026-04-15,food,Zomato / Swiggy,Zomato,1220,expense,11111111-1111-1111-1111-111111111111
txn_0036,2026-04-18,entertainment,Movie / OTT,PVR,261,expense,11111111-1111-1111-1111-111111111111
txn_0037,2026-04-21,shopping,Shopping,Myntra,2508,expense,11111111-1111-1111-1111-111111111111
txn_0038,2026-05-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0039,2026-05-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0040,2026-05-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0041,2026-05-07,utilities,Electricity bill,BESCOM,2895,expense,11111111-1111-1111-1111-111111111111
txn_0042,2026-05-09,groceries,Monthly groceries,Vijay Sales,4787,expense,11111111-1111-1111-1111-111111111111
txn_0043,2026-05-12,transport,Fuel / Metro,IndianOil,1630,expense,11111111-1111-1111-1111-111111111111
txn_0044,2026-05-15,food,Zomato / Swiggy,Zomato,1113,expense,11111111-1111-1111-1111-111111111111
txn_0045,2026-05-18,entertainment,Movie / OTT,PVR,507,expense,11111111-1111-1111-1111-111111111111
txn_0046,2026-05-20,electronics,Laptop purchase,Croma,45000,expense,11111111-1111-1111-1111-111111111111
txn_0047,2026-05-21,shopping,Shopping,Myntra,1924,expense,11111111-1111-1111-1111-111111111111
txn_0048,2026-06-01,salary,Monthly salary credit,ACME Corp,65000,income,11111111-1111-1111-1111-111111111111
txn_0049,2026-06-03,rent,House rent,Landlord,15000,expense,11111111-1111-1111-1111-111111111111
txn_0050,2026-06-05,emi,Car EMI,HDFC Bank,12500,expense,11111111-1111-1111-1111-111111111111
txn_0051,2026-06-07,utilities,Electricity bill,BESCOM,2565,expense,11111111-1111-1111-1111-111111111111
txn_0052,2026-06-09,groceries,Monthly groceries,Vijay Sales,5041,expense,11111111-1111-1111-1111-111111111111
txn_0053,2026-06-12,transport,Fuel / Metro,IndianOil,2251,expense,11111111-1111-1111-1111-111111111111
txn_0054,2026-06-15,food,Zomato / Swiggy,Zomato,456,expense,11111111-1111-1111-1111-111111111111
txn_0055,2026-06-18,entertainment,Movie / OTT,PVR,598,expense,11111111-1111-1111-1111-111111111111
txn_0056,2026-06-21,shopping,Shopping,Myntra,867,expense,11111111-1111-1111-1111-111111111111
